Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2014,131520,Howard University,10265,35,174,0,9,218
2006,147767,Northwestern University,18486,0,0,0,0,0
2007,147767,Northwestern University,19005,0,0,0,0,0
2008,147767,Northwestern University,19291,0,0,0,0,0
2009,147767,Northwestern University,19853,0,0,0,0,0
2010,147767,Northwestern University,20481,0,0,0,0,0
2011,147767,Northwestern University,20959,0,0,0,0,0
2012,147767,Northwestern University,21215,0,0,0,0,0
2013,147767,Northwestern University,21592,0,0,0,0,0
2014,147767,Northwestern University,21554,0,0,0,0,0
2001,162928,Johns Hopkins University,17826,1,0,0,0,1
2002,162928,Johns Hopkins University,17989,3,0,0,0,3
2003,162928,Johns Hopkins University,18820,2,0,0,0,2
2004,162928,Johns Hopkins University,18626,0,0,0,0,0
2005,162928,Johns Hopkins University,19225,1,0,0,0,1
2006,162928,Johns Hopkins University,19708,0,0,0,0,0
2007,162928,Johns Hopkins University,19682,0,0,0,0,0
2008,162928,Johns Hopkins University,19758,0,0,0,0,0
2009,162928,Johns Hopkins University,20383,0,0,0,0,0
2010,162928,Johns Hopkins University,20977,0,0,0,0,0
2011,162928,Johns Hopkins University,20996,0,0,0,0,0
2012,162928,Johns Hopkins University,20871,0,0,0,0,0
2013,162928,Johns Hopkins University,20918,0,0,0,0,0
2014,162928,Johns Hopkins University,21372,0,0,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0
2013,193900,New York University,44599,0,0,0,0,0
2014,193900,New York University,49274,0,6,0,0,6
2012,196413,Syracuse University,21029,0,0,0,0,0
2013,196413,Syracuse University,21267,0,0,0,0,0
2014,196413,Syracuse University,21492,0,0,0,0,0
2001,230038,Brigham Young University-Provo,32771,0,0,0,0,0
2002,230038,Brigham Young University-Provo,32408,0,0,0,0,0
2003,230038,Brigham Young University-Provo,33008,0,0,0,0,0
2004,230038,Brigham Young University-Provo,34347,0,0,0,0,0
2005,230038,Brigham Young University-Provo,34067,0,0,0,0,0
2006,230038,Brigham Young University-Provo,34185,0,0,0,0,0
2007,230038,Brigham Young University-Provo,34174,0,0,0,0,0
2008,230038,Brigham Young University-Provo,34244,0,0,0,0,0
2009,230038,Brigham Young University-Provo,34130,0,0,0,0,0
2010,230038,Brigham Young University-Provo,33841,0,0,0,0,0
2011,230038,Brigham Young University-Provo,34101,0,0,0,0,0
2012,230038,Brigham Young University-Provo,34409,0,0,0,0,0
2013,230038,Brigham Young University-Provo,31123,0,0,0,0,0
2014,230038,Brigham Young University-Provo,30484,0,0,0,0,0
2001,243744,Stanford University,18591,0,0,0,0,0
2002,243744,Stanford University,18297,0,0,0,0,0
2003,243744,Stanford University,17824,0,0,0,0,0
2004,243744,Stanford University,18836,0,0,0,0,0
2005,243744,Stanford University,19042,0,0,0,0,0
2006,243744,Stanford University,17747,0,0,0,0,0
2007,243744,Stanford University,19782,0,0,0,0,0
2008,243744,Stanford University,17833,0,0,0,0,0
2009,243744,Stanford University,18498,0,0,0,0,0
2010,243744,Stanford University,19535,0,0,0,0,0
2011,243744,Stanford University,19945,0,0,0,0,0
2012,243744,Stanford University,18519,3,0,0,0,3
2013,243744,Stanford University,18346,0,0,0,0,0
2014,243744,Stanford University,16963,0,0,0,0,0
