Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2005,240189,University of Wisconsin-Whitewater,10750,50,693,0,5,748
2006,240189,University of Wisconsin-Whitewater,10502,60,564,0,5,629
2007,240189,University of Wisconsin-Whitewater,10737,25,416,0,5,446
2008,240189,University of Wisconsin-Whitewater,10962,16,431,0,5,452
2009,240189,University of Wisconsin-Whitewater,11139,14,367,2,5,388
2010,240189,University of Wisconsin-Whitewater,11557,17,543,8,5,573
2011,240189,University of Wisconsin-Whitewater,11629,16,651,0,5,672
2012,240189,University of Wisconsin-Whitewater,12028,12,777,0,5,794
2013,240189,University of Wisconsin-Whitewater,12027,16,810,0,5,831
2014,240189,University of Wisconsin-Whitewater,12176,19,816,0,5,840
2001,240268,University of Wisconsin-Eau Claire,10802,6,270,0,10,286
2002,240268,University of Wisconsin-Eau Claire,10961,2,170,0,10,182
2003,240268,University of Wisconsin-Eau Claire,10677,1,391,0,10,402
2004,240268,University of Wisconsin-Eau Claire,10648,3,476,0,10,489
2005,240268,University of Wisconsin-Eau Claire,10688,3,575,0,10,588
2006,240268,University of Wisconsin-Eau Claire,10766,6,657,0,10,673
2007,240268,University of Wisconsin-Eau Claire,10854,4,294,0,10,308
2008,240268,University of Wisconsin-Eau Claire,11140,6,411,0,10,427
2009,240268,University of Wisconsin-Eau Claire,11216,9,403,0,10,422
2010,240268,University of Wisconsin-Eau Claire,11413,7,486,4,10,507
2011,240268,University of Wisconsin-Eau Claire,11300,5,369,0,10,384
2012,240268,University of Wisconsin-Eau Claire,11067,6,350,2,10,368
2013,240268,University of Wisconsin-Eau Claire,10923,7,631,2,10,650
2014,240268,University of Wisconsin-Eau Claire,10721,13,588,6,10,617
2001,240329,University of Wisconsin-La Crosse,9650,11,177,0,7,195
2002,240329,University of Wisconsin-La Crosse,9618,3,221,0,7,231
2003,240329,University of Wisconsin-La Crosse,9550,4,304,0,7,315
2004,240329,University of Wisconsin-La Crosse,9019,7,433,0,7,447
2005,240329,University of Wisconsin-La Crosse,9397,14,384,0,7,405
2006,240329,University of Wisconsin-La Crosse,9849,9,557,0,7,573
2007,240329,University of Wisconsin-La Crosse,9994,7,158,0,7,172
2008,240329,University of Wisconsin-La Crosse,9880,1,459,0,7,467
2009,240329,University of Wisconsin-La Crosse,10009,5,414,0,7,426
2010,240329,University of Wisconsin-La Crosse,10135,3,468,0,7,478
2011,240329,University of Wisconsin-La Crosse,10284,2,410,0,7,419
2012,240329,University of Wisconsin-La Crosse,10385,1,520,0,7,528
2013,240329,University of Wisconsin-La Crosse,10520,2,771,0,7,780
2014,240329,University of Wisconsin-La Crosse,10669,4,902,2,7,915
2001,240365,University of Wisconsin-Oshkosh,11033,11,297,0,12,320
2002,240365,University of Wisconsin-Oshkosh,11483,15,478,0,12,505
2003,240365,University of Wisconsin-Oshkosh,11431,28,592,0,12,632
2004,240365,University of Wisconsin-Oshkosh,11532,28,490,0,12,530
2005,240365,University of Wisconsin-Oshkosh,11433,29,346,0,12,387
2006,240365,University of Wisconsin-Oshkosh,12530,17,407,0,12,436
2007,240365,University of Wisconsin-Oshkosh,12772,24,325,0,12,361
2008,240365,University of Wisconsin-Oshkosh,12753,22,260,0,12,294
2009,240365,University of Wisconsin-Oshkosh,13192,10,737,2,12,761
